"","date"
"96","Despite the presence of “American Idol” winner Candice Glover, this limp revue of carols and pop songs isn’t likely to bring much Yuletide cheer."
"97","They met, sitting poolside, in 2014 during a Christmas vacation in Delray Beach, Fla."
"98","Austria's new conservative-far right ruling coalition is likely to be sworn in on Dec. 20, an informed source said on Friday, marking a victory for nationalists so far shut out of government elsewhere in western Europe."
"99","Romanian protesters clashed with riot police on Saturday when they stopped construction workers from building a Christmas fair at the site of anti-corruption demonstrations in Bucharest."
"100","The Latest on tax bills in Congress (all times local):"
"101","Taylor Swift held onto her throne atop the weekly U.S. Billboard 200 album chart for a third consecutive week on Monday. "
"102","Mr. Singer, the director of “Bohemian Rhapsody,” failed to return to the set after a Thanksgiving break, putting the movie back into limbo."
"103","Santa Claus is known for shimmying down chimneys, but for one day a year, dozens of Santas try to avoid tumbling down a mountain."
"104","Production was halted after Thanksgiving because Mr. Singer failed to return to set. Now he has been fired."
"105","The singer also released the album to streaming services, which may give it a second wind next week when it faces a challenge from U2’s new record."
"106","UPS says some package deliveries are being delayed because of an unexpected flood of orders from online shoppers after Thanksgiving."
"107","This word has appeared in 34 articles on nytimes.com in the past year."
"108","Driven to carve out a refuge for cleaning and carpentry."
"109","Australia's embattled conservative Prime Minister Malcolm Turnbull has shaken off speculation about the security of his leadership, declaring on Sunday he will lead his coalition government into the next election in 2019."
"110","A murky plot to extort money from delivery giant DHL Express has many Germans on edge during the busy holiday shipping season. Packages sent to a police station and a government office produced at least two false alarms Monday as a hotline buzzed ..."
"111","This photo gallery highlights some of the top news images made by Associated Press photographers in Latin America and the Caribbean, published in the past week."
"112","For many Americans, Thanksgiving travel generally means visiting family and perhaps some shopping. But if you have time for something a little different this year, there are worthwhile events happening across the country, in big cities and spots m..."
"113","Lawmakers are scrambling to fix a last-minute provision inserted into the Senate tax bill that could nullify tax breaks many corporations rely on to help fund research."
"114","Support for Ireland's governing Fine Gael party fell in a poll on Saturday as a political crisis that has left the country three days away from the calling of a snap election showed no sign of being resolved."
"115","Wednesday: The linked histories of trains and the holiday season, lightings around town, and a Christmas tree of lobster traps."
"116","Tuesday: Cooking with immigrant chefs in the city, a not-so-silent night and a nudist anniversary."
"117","The crush of unfinished business facing lawmakers would be daunting even if Washington were functioning at peak efficiency."
"118","The crush of unfinished business facing lawmakers when they return to the Capitol would be daunting even if Washington were functioning at peak efficiency."
"119","The luxury hotel’s new volume is one of several notable collections of recipes for the season and beyond."
"120","The rabbit — a territorial, adorable loner — owes its popularity to Beatrix Potter."
"121","With no major new releases hitting theaters, Pixar's acclaimed ""Coco"" again topped the North American box office with $27.5 million in its second week of release, according to final figures Monday."
"122","Asian refiners are losing no time reacting to a decision by OPEC and Russia to extend their agreed production cuts to all of 2018, ordering more oil from the Caribbean and Gulf of Mexico in a move that will result in lost OPEC and Russian market s..."
"123","Clint Eastwood’s “Gran Torino” airs on HBO. And a “Will & Grace” Christmas special takes place in early-20th-century New York."
"124","Asian refiners are losing no time reacting to a decision by OPEC and Russia to extend their agreed production cuts to all of 2018, ordering more oil from the Caribbean and Gulf of Mexico in a move that will result in lost OPEC and Russian market s..."
"125","A roundup of some of the most popular, but completely untrue, headlines of the week. None of these stories are legit, even though they were shared widely on social media. The Associated Press checked these out; here are the real facts:"
"126","Bali's rumbling Mount Agung is starting to impact the economy of the holiday island and, if the eruptions and volcanic ash clouds persist, could spark a bigger wave of cancellations by visitors to Indonesia's main tourism destination as peak seaso..."
"127","Our guide to the city’s best classical music and opera."
"128","The rugged “Vikings” returns for its fifth season. And “The Marvelous Mrs. Maisel” arrives for streaming."
"129","Riding strong reviews and an A-plus CinemaScore from audiences, Pixar's ""Coco"" opened with $50.8 million over the weekend and $72.9 million since opening Wednesday, according to final box-office figures Monday."
"130","An obese squirrel was caught on video stealing gourmet chocolate and lip balm that a family leaves outside as a holiday treat for delivery people."
"131","Czech President Milos Zeman swore in a populist billionaire as the country's new prime minister on Wednesday after his centrist movement won parliamentary elections."
"132","Prime-time viewership numbers compiled by Nielsen for Nov. 27-Dec. 3. Listings include the week's ranking and viewership."
"133","A group of 34 House Republicans on Tuesday asked Speaker Paul Ryan to act this month on legislation dealing with the 800,000 young immigrants brought to the United States as children and living here illegally."
"134","House GOP leaders unveiled a plan Saturday to avert a government shutdown next weekend and keep the government open through Dec. 22."
"135","More than half of the registered lobbyists in Washington have worked on tax issues in 2017, a report showed on Friday, as lawmakers in the U.S. capital scramble to conclude a year-long effort to pass a tax reform bill before Christmas."
"136","Faced with a Friday deadline to pass a government funding measure, the House and Senate passed on Thursday a two-week fix to buy more time for negotiations."
"137","This used to be the time of year when producers coasted through the holidays. No longer."
"138","Thursday: Tips for less congested holidays, an exhibition of more than 150 menorahs, and nostalgic train rides."
"139","Switzerland's economy grew 1.2 percent year-on-year in the third quarter, accelerating sharply from the weak second quarter as manufacturing and exports picked up."
"140","In a story Dec. 5 about a tattooed mall Santa Claus, The Associated Press reported erroneously that Cherry Hill Programs runs the Oxford Valley Mall. Cherry Hill Programs runs the mall's Santa photo operation."
"141","Irish Prime Minister Leo Varadkar's Fine Gael party surged into an 11-point lead in a poll on Thursday, gaining credit for the government's Brexit negotiating stance and indicating its recent near-collapse had not hurt his popularity."
"142","Republicans in the U.S. House of Representatives were in discussions on Tuesday about how long to fund the federal government in a short-term spending measure expected to come to a vote as early as Wednesday. "
"143","Austrian Finance Minister Hans Joerg Schelling said on Thursday he would not serve in the next coalition government being put together by the leader of his conservative party, Foreign Minister Sebastian Kurz."
"144","Hundreds of people staged another protest Sunday in the Romanian capital to pressure the government into scrapping a proposed restructuring of the justice system that critics say would make it hard to punish high-level corruption."
"145","Embattled Minnesota Sen. Al Franken is facing a new allegation of inappropriately touching a woman after an Army veteran accused him of groping her during a USO Christmas tour in the Middle East more than a decade ago."
"146","A 6-year-old Virginia boy has shaken up social media with an all-too-skeptical letter to Santa Claus in which he says he knows that jolly Saint Nick's life is empty and that Santa had no idea whether he had been naughty or nice."
"147","Bournemouth manager Eddie Howe said their rivalry with south coast rivals Southampton was growing but conceded they must first establish themselves in the Premier League to bridge the gap between the two sides."
"148","General Manager Brian Cashman told reporters on Friday that he would next make a recommendation to team ownership."
"149","A magnitude-4.1 earthquake whose center was about six miles northeast of Dover was felt from Virginia to Connecticut."
"150","For more than 60 years, Mr. Howard appeared frequently on television and in films, including many directed by his son."
"151","The Latest on a U.S. Senate Race in Alabama (all times local):"
"152","One of the biggest draws in New York this time of year is the ""Christmas Spectacular"" featuring the iconic Rockettes at Radio City Music Hall. Everyone knows about their high kicks but do you know how many calories each burns? What do they snack o..."
"153","Police have arrested a 20-year-old man suspected of planning to use an automatic rifle for a mass shooting on New Year's Eve in downtown Melbourne, Australia's second largest city."
"154","A system scheduling error has left thousands of American Airlines flights in December without scheduled pilots, the carrier's pilots union said as the airline heads into one of the busiest travel periods of the year."
"155","Congress is likely to miss a Dec. 8 deadline for passing legislation funding a wide range of federal government programs through Sept. 30, 2018, kicking the contentious debate into next year, a senior U.S. House of Representatives aide said on Tue..."
"156","Police have arrested a 20-year-old man suspected of planning to use an automatic rifle for a mass shooting on New Year's Eve in downtown Melbourne, Australia's second largest city."
"157","After a debut tally of 1.2 million, the singer’s latest album sold the equivalent of 256,000 in its second week."
"158","Chancellor Angela Merkel faced pressure from inside her conservative bloc Sunday to aim for a quick coalition deal with center-left rivals without conceding too much ground on core issues such as immigration."
"159","Security was stepped up for the Thanksgiving Day parade, but the children and adults along the route paid more attention to Olaf and the Grinch."
"160","Our guide to pop and rock shows and the best of live jazz."
"161","Brands, struggling to profit in the critical holiday season, have found a way to start sales early."
"162","Timothy Polin gives us direction on how to solve his puzzle."
"163","Variations on “The Nutcracker” abound. Our critic sorts out what’s true to the ballet’s heart and (a different thing) to its tradition."
"164","The new movie about P.T. Barnum is a risky proposition: an original musical period piece. But it does have the team from “La La Land” on board."
"165","Mel Gibson gets off lightly as a crass paterfamilias in this comedy sequel to the hit starring Will Ferrell and Mark Wahlberg."
"166","That gun bill is back, but then again, there’s a hero cat."
"167","President Donald Trump and congressional leaders have scheduled a summit to begin sorting out their budget differences, top lawmakers and the White House said Monday, as a clash that could produce a partial government shutdown by the weekend hung ..."
"168","UCLA coach Cori Close used a microphone to thank fans for attending Sunday's game against UC Santa Barbara, which is part of her customary postgame routine. This time, she ended her speech by saying ""happy holidays."""
"169","Make something in your multicooker, if you have one, or embrace the start of the holiday baking season, with linzer trees, chocolate-mint thins or a Bundt cake."
"170","Our guide to cultural events in New York City for families with children and teenagers."
"171","Today in History"
"172","Yosemite National Park might not seem like an ideal winter destination, particularly if you're from a part of the country where you'd like to trade in road salt for rim salt on your margarita and leave the words ""wind chill"" behind."
"173","After Kansas Gov. Sam Brownback's nomination this summer to an ambassador's post, the fellow Republican destined to succeed him as governor ducked policy questions by declaring, ""There's one governor at a time."""
"174","'Tis the season to keep that office holiday party from adding to the list of workplace sexual misconduct scandals."
"175","Monday: A project shows how much further the state has to go to help foster equality, change comes to Inglewood and a podcast about Mountain View."
"176","Suggested reading from critics and editors at The New York Times."
"177","Australian former deputy prime minister Barnaby Joyce is expected to win re-election for the seat he was earlier forced to vacate, and return to his position in parliament on Saturday, just over a month after he was kicked out over a dual citizens..."
"178","Just another day at the Southeastern Conference. An athletic director fired, a $75 million coaching contract, and a postseason ban for Ole Miss."
"179","President Donald Trump turned the firing of NBC's Matt Lauer into a fresh opportunity to attack the press Wednesday, unleashing a series of cryptic and personal tweets aimed at prominent media figures."
"180","Wal-Mart Stores Inc said on Wednesday that soaring online purchases have caused delays in its distribution network, reflecting the challenge retailers and delivery services face in handling strong peak-season ecommerce demand."
"181","Books that traverse the vast terrain of father-daughter relationships, from the stormy to the sunny, in fiction and memoir."
"182",""
"183","Two types of New Zealand kiwi birds are a rare bright spot in a mostly grim assessment of global species at risk of extinction."
"184","Today in History"
"185","Brushing aside an ongoing Russia probe, President Donald Trump reveled Saturday in the Senate's passage of a sweeping tax bill, predicting with swagger that he and his fellow Republicans were ""unbeatable."""
"186","House Republican leaders are looking to pass a short-term spending bill to avoid a government shutdown next week and keep the government's doors open through Dec. 22."
"187","GOP leaders toiled behind the scenes Wednesday in hopes of readying a long-anticipated tax bill for a floor debate. A pair of pro-family Republicans offered a plan to pare back a proposed cut in corporate tax rates to make an increase in the child..."
"188","A top Republican senator said Monday his comments were misinterpreted when he defended GOP efforts to scale back the federal estate taxes because it helps those who invest rather than people who spend their money on ""booze or women or movies."""
"189","Australian tourists who complained about being stranded on tropical Bali when volcanic ash closed its airport have been roasted online as out of touch with the hardships faced by Indonesians forced to flee their homes."
"190","Former continental champions Red Star Belgrade extended their interest in Europe beyond Christmas for the first time in 26 years after a 1-0 home win over Cologne on Thursday sent them into the Europa League knockout stages."
"191","American Airlines still has hundreds of flights without pilots assigned to them in December, the company said on Thursday, after a scheduling error gave too many pilots time off."
"192","A white Zimbabwean farmer kicked off his property at gunpoint in June has been told he will be going home within days, the first signs of the post-Robert Mugabe government making good on promises to respect agricultural property rights."
"193","House Democratic Leader Nancy Pelosi on Monday slammed a Republican bill that would make it easier for gun owners to legally carry concealed weapons across state lines ahead of a House vote later this week. It would be the first action by Congress..."
"194","Republicans in U.S. House of Representatives began staking out their positions on final tax legislation on Tuesday, days ahead of talks with the Senate to shape the tax package lawmakers hope to send to President Donald Trump by year end."
"195","The tax overhaul legislation passed by the U.S. Senate jettisoned a long-held Republican goal of repealing the corporate alternative minimum tax (AMT), a move seen as hurting companies that invest heavily in research and development."
"196","The Latest on Republican tax overhaul legislation (all times local):"
"197","British shoppers snapped up Black Friday bargains last month but an increasing share of their budgets was taken up by the rising cost of food, retailers said on Tuesday."
"198","A selection of books published this week; plus, a peek at what our colleagues around the newsroom are reading."
"199","Foreign banks in Britain view any attempt to make them convert their branches to subsidiaries after Brexit as a ""red line"" which would likely cause them to rethink their presence in the country, an industry report said on Wednesday.     "
"200","Australia's prime minister said Wednesday that he was discussing with his government how to help thousands of Australians stranded by volcanic smoke on the popular Indonesian resort island of Bali."
"201","Austria's main conservative and far-right parties, which are in coalition talks, plan to use Britain's departure from the European Union to renegotiate the bloc's main atomic pact so as to reward countries free of nuclear power, they said on Frida..."
"202","British shoppers snapped up Black Friday bargains last month but an increasing share of their budgets was taken up by the rising cost of food, retailers said on Tuesday."
"203","A rushed tax bill showers goodies on parts of corporate America. One hiccup, though, puts the research and development tax credit favored by business at risk."
"204","Manchester United have the talent to cope with Paul Pogba's absence during their top-of-the-table showdown with Manchester City, fellow midfielder Juan Mata said ahead of Sunday's Premier League clash."
"205","New Everton manager Sam Allardyce said the return of defender Michael Keane from injury and striker Oumar Niasse from suspension is a boost ahead of his first Premier League game in charge of the club against Huddersfield Town on Saturday."
"206","Macy's Inc said on Friday it had a strong start to the holiday shopping season and would hire an additional 7,000 temporary workers for its stores to deal with heavy customer numbers in the run up to Christmas."
"207","A rare earthquake jolted the Mid-Atlantic region of the East Coast on Thursday evening, prompting some to flee offices and homes, but causing no serious damage or injuries."
"208","President Donald Trump has suggested that he may be willing to negotiate changes to a significant portion of the tax overhaul, the corporate tax rate, injecting an element of uncertainty into the tax plan only hours after it cleared the Senate."
"209","Friday: An earthquake gives New York a bit of a shake, weekend events, and the only supermoon of the year."
"210","Tesco's former UK finance director Carl Rogberg did not coerce and bully employees to manipulate profit figures in 2014, his lawyer told a London court on Tuesday."
"211","Australian police have arrested a man accused of planning a mass shooting for New Year's Eve in a crowded Melbourne square, officials said Tuesday."
"212","Williams are hoping Robert Kubica ticks all the right boxes in Abu Dhabi testing this week as the Pole moves closer to an astonishing Formula One comeback with the former world champions."
"213","Southampton forward Charlie Austin's performance on Sunday bodes well for the team after he marked his recall with two goals in a 4-1 win at home to Everton, said manager Mauricio Pellegrino."
"214","The detentions fanned fears that extremists posing as asylum seekers were targeting Europe."
"215","Lizzie Collingham’s “The Taste of Empire” and Erika Rappaport’s “A Thirst for Empire” explore the worldwide influence of Britain’s culinary heritage."
"216","Monday: Experts recommend holiday events in the city, the Winter’s Eve festival, and a search for local charities."
"217","Great reads around the web, from Tyson Evans, Lynda Richardson and others."
"218","""You can’t just give a child a Fitbit for Christmas and expect them to be active,” one expert said."
"219","Mr. Westwick, who has been accused of rape by two women, has vehemently denied any sexual misconduct."
"220","How has the national mood changed in the 365 days since Donald Trump was elected president?"
"221","A judge on Thursday denied an emergency request for relief funds by three Texas churches damaged during Hurricane Harvey that are suing the federal government over how it offers disaster aid to houses of worship."
"222","The number of Americans filing for unemployment benefits unexpectedly fell last week, suggesting a rapid tightening of the labour market that bolsters expectations the Federal Reserve will raise interest rates next week."
"223","President Donald Trump suggested Saturday he may be willing to negotiate changes to a significant portion of the tax overhaul, the corporate tax rate, injecting an element of uncertainty into the tax plan only hours after it cleared the Senate."
"224","If you’re looking to get caught up, here’s where to stream some of A.O. Scott’s and Manohla Dargis’s best movies of the year."
"225","The House Freedom Caucus has been on its best behavior these past few months. The group of about three dozen hard-right Republicans has a penchant for fighting with GOP leaders over tactics and strategy, and helped topple Speaker John Boehner, but..."
"226","The Senate on Wednesday barreled toward the most sweeping rewrite of the tax code in more than three decades as the top Republican senator said he was willing to compromise on a major sticking point for lawmakers from high-tax states such as New Y..."
"227","The dark comedy “Happy!” premieres. And “8 Mile” comes to Netflix."
"228","Amazon.com Inc's Australian arm took its first orders on Tuesday, ending the suspense over its opening date and sending retail stocks higher amid complaints of limited product range and uncompetitive prices on the U.S. e-commerce platform."
"229","Fresh off his biggest legislative victory of the Trump era, Senate Majority Leader Mitch McConnell on Saturday disputed projections that the Senate's tax bill would add to the nation's debt woes."
"230","Facing an opponent that can look like a blur, Wichita State guard Samajae Haynes-Jones was pretty sure he would feel at home Tuesday night."
"231","I second Erik Agard’s emotion."
"232","The U.S. Supreme Court on Monday refused to hear Houston's appeal of a lower court ruling that threw into doubt the city's spousal benefits to gay married municipal employees, allowing a case that tests the reach of the landmark 2015 decision lega..."
"233","Many independent U.S. truckers are pushing President Donald Trump to back his anti-regulatory rhetoric by delaying an Obama-era rule requiring electronic monitors in trucks, a measure some drivers fear could put them out of business due to extra c..."
"234","Christopher Meloni of “Law & Order: SVU” sends up his long-running role as an angry cop by playing a hit man opposite an animated blue flying unicorn."
"235","The U.K. government acknowledged Wednesday that it has made no detailed assessment of the economic impact of leaving the European Union, as its lack of preparation for a momentous break became clear."
"236","Venezuelan President Nicolas Maduro looked to the world of digital currency to circumvent U.S.-led financial sanctions, announcing on Sunday the launch of the ""petro"" backed by oil reserves to shore up a collapsed economy."
"237","The Senate and the House seek to achieve a sweeping overhaul of the nation's tax code but go about it in different ways. With the Senate bill passed Saturday and the House bill passed two weeks ago, congressional Republicans now will work quickly ..."
"238","Political and business leaders in Cincinnati are pushing toward their goal of scoring a Major League Soccer franchise, while in Ohio's capital city, soccer supporters are on defense."
"239","Democratic Rep. Sander Levin of Michigan announced Saturday that he will not seek re-election to a 19th term in 2018."
"240","Venezuelan President Nicolas Maduro looked to the world of digital currency to circumvent U.S.-led financial sanctions, announcing on Sunday the launch of the ""petro"" backed by oil reserves to shore up a collapsed economy."
"241","Even though the New Jersey Devils are off to a surprisingly strong start this season, they were on the lookout for an offensive-minded defenseman."
"242","Britain's closest-watched gauge of consumer sentiment fell this month to its lowest since just after last year's Brexit vote, and business morale also softened, as households and firms took a darker view of the economic outlook."
"243","New York Times journalists stationed abroad share how they've adapted Thanksgiving in their adopted homes."
"244","Australia's former Deputy Prime Minister Barnaby Joyce will return to parliament after he won an essential by-election for his seat, just over a month after he was kicked out over a dual citizenship crisis that cost the conservative coalition gove..."
