"","money"
"24","Sierra Leone sold one of the world's largest uncut diamonds for $6.5 million at a New York auction on Monday to raise funds for development projects in the West African country. "
"25","Researchers in South Africa have unveiled what they call ""by far the most complete skeleton of a human ancestor older than 1.5 million years ever found."""
"26","Spain has announced its second-biggest cocaine seizure ever, a near six metric-ton haul with a street value estimated at 210 million euros ($250 million)."
"27","Switzerland will return to Nigeria around $321 million in assets seized from the family of former military ruler Sani Abacha via a deal signed with the World Bank on Monday, the Swiss government said."
"28","The Volkswagen car brand expects deliveries to hit a  record this year and raised its midterm profitability forecast on Thursday, citing cost cuts and expanding ranges of higher-margin models."
"29","A Leonardo da Vinci painting of Christ that sold in New York for a record $450 million (380 million euros) is heading to a museum in the United Arab Emirates."
"30","a deal aimed at boosting the pan-European exchange's position in debt and fund listings."
"31","Denver-based startup Boom Supersonic has won a $10 million investment from Japan Airlines Co Ltd in its push to build a supersonic passenger aircraft it claims will be faster, quieter and more affordable to fly than the Concorde."
"32","The capitalist Koch brothers want the socialist president of Venezuela to pay up."
"33","Uber Technologies Inc's quarterly adjusted losses widened to $743 million (556 million pounds), up 14 percent from the previous quarter, the Financial Times reported on Tuesday.  "
"34","Spain's largest bank Santander said it would take an impairment charge of 600 million euros (532 million pounds), mostly due to its U.S. consumer finance group, a move it said would hit fourth quarter earnings."
"35","The NFL is committing $90 million over the next seven years to social justice causes in a three-segment plan that involves league players."
"36","Rapper DMX pleaded guilty to tax fraud Thursday, admitting he concealed millions of dollars in revenue to dodge $1.7 million in taxes he'd otherwise owe."
"37","A Southern California attorney pleaded guilty Monday to running a scam that authorities say collected more than $50 million from wealthy Chinese investors seeking green cards."
"38","Reza Zarrab, under cross-examination by the defense, admitted that he had made a fortune helping Turkey evade U.S.-imposed sanctions on Iran."
"39","The prince bought Leonardo da Vinci’s portrait of Christ, according to documents reviewed by The New York Times."
"40","The city’s priciest sale last month was a penthouse occupying the entire 20th floor of the Norman Foster-designed condo at 551 West 21st Street."
"41","Dentsply Sirona Inc has agreed to pay $1.2 million to settle apparent Iranian sanctions violations by two of its subsidiaries, the U.S. Treasury Department's Office of Foreign Assets Control said on Wednesday."
"42","U.S. Special Counsel Robert Mueller's office has spent about $3.2 million in the first 4-1/2 months of its investigation into Russian meddling in the 2016 presidential election, the Justice Department revealed in a report on Tuesday."
"43","One of General Motors Co's China ventures will recall nearly a million vehicles due to fuel tank problems, the country's quality watchdog said on Friday, the latest in a spate of major auto recalls in China over the last few months."
"44","New Zealand dairy firm Fonterra has been ordered to pay French company Danone SA 105 million euros (&#163;92.4 million) over a contamination scare, a smaller than expected sum, though it prompted Fonterra to cut its earnings forecast. "
"45","Fluor Enterprises Inc, a subsidiary of Fluor Corp, was awarded an $831 million contract for construction services to help restore electric power to Puerto Rico, the Pentagon said on Friday."
"46","The Hungarian Export-Import Bank will contribute 100 million euros (&#163;88 million) to China's government-backed SINO-CEE Fund, which aims to raise a total of 10 billion euros, the fund said."
"47","A Philadelphia state court jury on Tuesday ordered Bayer AG and Johnson &amp; Johnson to pay $27.8 million to an Indiana couple over the drugmakers' failure to warn of internal bleeding risks from their blood thinner Xarelto."
"48","Chinese conglomerate Fosun International is in talks with banks to list its tourism business, which includes French resort chain Club Med, to raise at least $500 million, IFR reported on Thursday, citing people familiar with the situation."
"49","Cryptocurrency marketplace NiceHash said the contents of its bitcoin wallet had been stolen in a security breach and one executive said nearly $64 million had been lost."
"50","Jimbo Fisher wasn't wearing a white hat when he arrived at Texas A&amp;M on Monday, no signs of a swashbuckling, down-home savior for program desperate to compete with the best in the Southeastern Conference."
"51","Disney-Pixar's animated comedy ""Coco"" easily repeated as the winner of the North American box office with a solid $26.1 million at 3,987 locations during a moderate weekend."
"52","Japanese automaker Nissan Motor has begun international arbitration against India to seek more than $770 million in a dispute over unpaid state incentives, according to a person familiar with the matter and documents reviewed by Reuters."
"53","Farming technology startup Indigo has raised more than $200 million from investors to fund its efforts to reform how crops including wheat, soybeans, cotton and corn are grown around the world."
"54","Russia's En+ Group, which manages businessman Oleg Deripaska's aluminium and hydropower businesses, said on Monday its third-quarter net profit rose 43 percent year-on-year to $350 million (260.7 million pounds) helped by higher aluminium prices."
"55","Swiss Re has agreed to buy 1.1 million life insurance policies from Legal &amp; General Group (L&amp;G) for 650 million pounds, the Swiss group said on Wednesday. "
"56","Idorsia, the Swiss drugmaker spun off from Actelion after it was bought by Johnson &amp; Johnson (J&amp;J), will receive a one-time payment of $230 million (171 million pounds)from J&amp;J's Janssen unit as they partner on aprocitentan for resista..."
"57","A manager at the centre of investigations into an accounting scandal at British Telecom's Italian business has been awarded almost 1.8 million euros (&#163;1.6 million) in damages for wrongful dismissal, three legal sources said."
"58","Authorities in Honduras on Monday arrested a Kentucky attorney who had pleaded guilty to charges over his role in a more than $550 million disability fraud scheme, months after he fled U.S. law enforcement, Honduran officials said."
"59","Delivery Hero, the world's largest online takeaway food delivery group, said on Tuesday it would offer shares worth up to 686 million euros ($810 million) to investors, raking in cash to expand its business through takeovers."
"60","The United Nations launched a record appeal Friday for $22.5 billion to help 91 million of the 136 million people across the world in need of humanitarian aid as a result of conflicts, natural disasters, epidemics and displacement."
"61","The number of people in Spain registering as&#160;jobless&#160;rose by 0.21 percent in November from a month earlier, or by 7,255 people, leaving 3.47 million people out of work, data from the Labour Ministry showed on Monday."
"62","Legal &amp; General is to sell a closed savings business with 33 billion pounds in assets to Swiss Re for 650 million pounds to help fund areas of growth including annuities."
"63","Uber Technologies Inc has informed Britain's data protection regulator that about 2.7 million user accounts - representing the vast majority of people using the ride-hailing service in the country  - were affected by a 2016 data breach."
"64","Versatile right-hander Yusmeiro Petit agreed to a $10 million, two-year contract with the Oakland Athletics, a deal that is pending a physical."
"65","President Donald Trump's former campaign manager Paul Manafort has agreed to an $11.65 million bail agreement with the special counsel investigating Trump campaign ties to Russia, the longtime Republican political consultant's lawyer said on Thurs..."
"66","Greece's National bank (NBG) said on Friday it sold its Serbian subsidiaries Vojvodjanska Banka AD and NBG Leasing and a portfolio of Serbian-risk corporate loans for 125 million euros (110.2 million pounds). "
"67","Cuba and Swiss firm Nestle on Tuesday laid the first stone of a $55 million (41.2 million pounds) coffee and biscuits factory joint venture in the Mariel special development zone, the latest major foreign investment in the Communist-run island."
"68","A manager at the centre of investigations into an accounting scandal at British Telecom's Italian business has been awarded almost 1.8 million euros (1.6 million pounds) in damages for wrongful dismissal, three legal sources said on Wednesday."
"69","Japan's Toyota Motor Corp will invest 400 million zlotys ($113 million) in manufacturing a new combustion engine for hybrid vehicles in Poland, the company and Polish authorities said on Tuesday."
"70","French start-up Doctolib, an online booking platform for doctors, brought in listed investment firm Eurazeo in a 35 million euro (31.5 million pounds) fundraising aimed at speeding up its expansion in Germany, it said on Tuesday. "
"71","European law enforcement agencies uncovered $36 million (&#163;27.22 million) in illicit money transfers and made 159 arrests in less than a week as they stepped up a crackdown on so-called money mules, Europol said on Tuesday."
"72","Justin Thomas walked away with the richest payoff in golf when he was runner-up at the Tour Championship and captured the FedEx Cup. With the $10 million bonus, he made $10,945,000 that day."
"73","The nation and its president have high hopes that the $575 million airport will help it become a regional powerhouse."
"74","Prime Minister Justin Trudeau apologized for Canada’s discrimination against gays and lesbians who were forced out of the military and public service."
"75","Putting a publicly funded charter school on the campus of a Silicon Valley giant is a new twist on the evolving relationship between big tech companies and schools."
"76","The G League will have a team in Mexico City that is owned and operated locally. The expansion could help gauge the viability of putting an N.B.A. team there."
"77","A major donation from Dr. P. Roy Vagelos, the former chairman of Merck, will be used to underwrite financial aid for future doctors."
"78","Prime-time viewership numbers compiled by Nielsen for Nov. 20-26. Listings include the week's ranking and viewership."
"79","Powered by football and ""The Voice,"" NBC won a second consecutive weekly ratings contest and narrowed the gap with front-runner CBS among total viewers for the TV season so far."
"80","Prime-time viewership numbers compiled by Nielsen for Nov. 27-Dec. 3. Listings include the week's ranking and viewership."
"81","While surely a week NBC wouldn't want to repeat, Matt Lauer's firing lured viewers to the ""Today"" show."
"82","In a sleepy post-Thanksgiving weekend at the box office, Pixar's ""Coco"" remained the top film for the second straight week while a number of Oscar contenders packed theaters in specialty release."
"83","A two-bedroom apartment in a waterfront complex in the port city of Gdynia is on the market for about $4.5 million."
"84","A second-floor home with a private roof deck and a terrace in the island city of Trogir, near Split, is on the market for about $2.1 million."
"85","Shares of LendingClub Corp hit a record low on Thursday after the online lender raised its loss estimate and cut its revenue forecast for the fourth quarter."
"86","The Kansas City Royals signed right-hander Wily Peralta to a one-year contract with a club option, the team announced Tuesday."
"87","“Coco” has passed $100 million in total grosses. “The Disaster Artist” opened strongly in limited release."
"88","Portuguese soccer star Cristiano Ronaldo muscled his way into Instagram's top-followed ranks this year as he documented his career and growing family, but pop star Selena Gomez still reigned supreme on the social media platform. "
"89","Deutsche Boerse has agreed to launch a new share buy back worth roughly 200 million euros (&#163;176.4 million), the German stock exchange operator said in a statement on Tuesday."
"90","President Trump has announced plans to reduce Bears Ears National Monument. President Obama had designated the 1.3 million acres in southern Utah at the request of Native American groups."
"91","The U.N.'s intellectual property agency says China racked up a record 1.3 million patent applications last year, topping the combined total in the U.S., Japan, Korea and Europe."
"92","30 million people will suffer from eating disorders in their lifetime, yet decades after Karen Carpenter died from anorexia, myths about eating disorders continue."
"93","Casinos on the Las Vegas Strip saw a 6 percent drop in revenue in October compared with the same month last year, but state's gambling regulatory agency did not attribute the decrease exclusively to the mass shooting that took place in the city th..."
"94","Investment banks could earn as much as $183 million (&#163;136.2 million) in fees from a flurry of deal-making by British companies this week, according to estimates by Freeman Consulting Services."
"95","Test production at Egypt's Atoll offshore gas field began on Tuesday with a production capacity of 300 million cubic feet per day, Petroleum Minister Tarek El Molla said."
"96","ZPG Plc, the owner of British property websites Zoopla and PrimeLocation, reported a 23.7 percent jump in full-year revenue as more people visited its price comparison sites, but costs rose as it spent heavily on acquisitions and advertising."
"97","Rapper Sean ""Diddy"" Combs was ranked the world's highest-paid musician on Wednesday in an annual list that saw black artists take the top four spots."
"98","Austrian lighting maker Zumtobel reported a second-quarter loss on Tuesday due to increased pricing pressure, a weak UK performance and higher warranty provisions."
"99","The Angels acquired pitcher Jim Johnson and the Atlanta Braves' remaining $1.21 million in international bonus signing allocation on Thursday for minor league left-hander Justin Kelly, a deal that raises Los Angeles' possible bonus offer to Shohei..."
"100","On the week host Matt Lauer was fired because of sexual misconduct charges, NBC's ""Today"" show beat its rivals at ABC for the first time in three months."
"101","Greensphere Capital Plc said on Thursday that it would seek to raise up to $500 million (&#163;370.43 million) in an initial public offering on the London Stock Exchange."
"102","Seattle Mayor Jenny Durkan has signed an agreement with a developer to renovate KeyArena so the venue could be ready for an NBA or NHL team."
"103","The New York Rangers, worth $1.5 billion, are the most valuable franchise in the National Hockey League for a third consecutive year, according to the annual list published by business magazine Forbes on Tuesday."
"104","Russian prosecutors on Monday sought a sentence of 10 years in jail for ex-economy minister Alexei Ulyukayev, on trial on charges of extorting a $2 million bribe from Rosneft chief Igor Sechin, Russian news agencies reported."
"105","Germany's financial markets watchdog BaFin is questioning Deutsche Boerse over how it communicated the appointment of Theodor Weimer as chief executive, the regulator said on Friday."
"106","Prince Bader bin Abdullah bin Mohammed bin Farhan al-Saud, a little known Saudi prince, paid a record $450.3 million for Leonardo da Vinci’s “Salvator Mundi.” Here are a few other buyers with deep pockets."
"107","Quotation of the Day for Thursday, December 7, 2017."
"108","Dutch healthcare technology company Philips said on Tuesday it was selling a stake of about 12 percent in Philips Lighting."
"109","Struggling commodity trader Noble Group Ltd said on Wednesday it would sell four dry bulk carrier vessels for about $95 million, as it looks to cut debt to keep its business running."
"110","The family of a convicted New Jersey mobster has received more than $6 million in a land dispute with New Jersey Transit."
"111","A large oval-shaped diamond known as the ""Pink Promise"" was sold to an anonymous buyer for $32 million (&#163;24 million) in Hong Kong on Tuesday, just short of shattering a world auction record."
"112","Germany's Delivery Hero reported a 60 percent jump in third-quarter revenue on Monday, showing no let up in pace of growth of takeaway food apps."
"113","Two Lloyd's of London Ltd underwriters and a credit union for United Nations employees are among the entities that have agreed to pay a total of $1.47 million (1.11 million pounds) for their roles in an unlicensed life insurance programme, New Yor..."
"114","Athletic apparel maker Lululemon Athletica Inc. on Wednesday posted strong results for its fiscal third-quarter and raised its forecasts for the full year, sending its stock jumping in after-hours trading."
"115","Italy's Banca Carige aims to sell its consumer credit unit to London-based hedge fund Chenavari by Dec. 6 when a vital 560 million euro (495.11 million pounds) cash call ends."
"116","OPEC will debate this week whether to cap oil output from Nigeria and Libya, which have so far been excluded from supply curbs due to falling production amid unrest, two sources with knowledge of the matter said on Wednesday."
"117","Oil rig builder Lamprell Plc warned that full-year earnings would be materially below market expectations, hurt by losses from an East Anglia offshore windfarm project, sending its shares down as much as 19 percent on Thursday morning."
"118","Cross-border digital money transfer service WorldRemit aims to increase its customers fivefold to 10 million in 2020, with half of them in Africa, Chief Executive Ismail Ahmed said."
"119","Ohio awarded $10 million in grants Thursday to six companies and a university that have come up with innovative scientific ideas to address the national opioid epidemic."
"120","Oil prices inched higher on Thursday after a data report showed a decrease in U.S. crude inventories, but rising gasoline stocks and crude production weighed on the market. "
"121","Shareholders in Banca Carige took up 66 percent of a 500 million euro (&#163;441 million) cash call demanded by regulators, leaving the Italian bank to rely on accords with a number of investment firms to fill up the gap."
"122","The Los Angeles Angels acquired right-handed reliever Jim Johnson from the Atlanta Braves on Thursday in exchange for minor league pitcher Justin Kelly."
"123","Minnesota's biennial budget faces a deficit for the first time since 2013 as state revenue is expected to fall while expenditures climb, according to a forecast released on Tuesday."
"124","Arkansas had its best back-to-back seasons in the Southeastern Conference when Bobby Petrino was leading a high-powered offensive attack during the 2010-11 seasons."
"125","United Parcel Service said on Tuesday some deliveries were being delayed because of a surge in holiday online shopping orders during the peak shipping period."
"126","Right-hander Wily Peralta and the Kansas City Royals have agreed to a one-year contract worth $1,525,000, a deal that includes a club option for 2019."
"127","Italian pasta maker De Cecco has picked UniCredit and Credit Suisse to help it prepare for an initial public offering (IPO) of its shares, several sources close to the matter said on Wednesday."
"128","Brown University says it will replace all student loans with scholarships in its financial aid packages starting next year."
"129","Anglo-Australian miner Rio Tinto Ltd said on Monday it expects capital expenditure of less than $4.5 billion in 2017 down from an earlier forecast of $5 billion, as it focuses on delivering better returns to shareholders."
"130","Poland is ready to defend its decision in the European Union's top court to refuse to accept migrants from Africa and the Middle East under an EU plan to redistribute them, Deputy Foreign Minister Konrad Szymanski said."
"131","U.S. ride-hailing company Uber Technologies Inc [UBER.UL] on Wednesday signed a strategic deal with Vietnamese financial technology firm MoMo to let passengers pay for rides using MoMo's e-wallet, the pair said in a statement on Wednesday."
"132","Ireland's tax take was ahead of target at the end of November for the first time since February, the Finance Ministry said on Monday."
"133","French art auction house Artcurial has agreed to buy John Taylor, the upmarket estate agent that has spent more than 100 years selling properties in places such as the Riviera to the global jet set."
"134","The mayor of London is taking control of the former Olympic stadium used by Premier League side West Ham United after an independent review disclosed rising costs and mounting losses."
"135","A developer convicted of defrauding taxpayers out of hundreds of thousands of dollars in a failed effort to build a professional soccer stadium in Connecticut has been sentenced to three years in federal prison."
"136","Toys 'R' Us won court approval on Tuesday for plan to pay top executives up to $21 million in bonuses by arguing that the money will incentivize them to boost the bankrupt retailer's sales during the critical year-end shopping season."
"137","An unnamed trader dubbed the ""VIX elephant,"" who for months has been prepared for a stock market slump, capitalized on a short-lived spike in volatility on Friday to adjust a massive options hedge."
"138","Media magnate Ted Turner says he'll sell an island to South Carolina to help a popular, but eroding state park."
"139","Energy and mineral production on federal and tribal land generated $7.1 billion in disbursements in fiscal year 2017, $1 billion more than the previous year, the U.S. Interior Department said on Thursday."
"140","Democrat Doug Jones is crushing Republican Roy Moore in fundraising ahead of their upcoming special U.S. Senate election in Alabama, keeping alive his party's hope for an upset over a GOP rival stung by sexual misconduct accusations."
"141","British budget airline easyJet is set to win unconditional EU antitrust approval to buy parts of failed German peer Air Berlin, people familiar with the matter said on Monday."
"142","British budget airline easyJet is set to win unconditional EU antitrust approval to buy parts of failed German peer Air Berlin, people familiar with the matter said on Monday."
"143","The PGA Tour has signed a deal to partner with Chinese firm Shankai Sports to manage the operations of its China series for 20 years from 2018."
"144","Spain has made its largest cocaine bust in 18 years, the Interior Ministry said on Tuesday, after more than 5,800 kg of the drug were discovered on a container ship traveling from Medellin in Colombia."
"145","Sears Holdings Corp cut its third quarter loss by almost $200 million compared to a year ago, the company said on Thursday, benefiting from lower operating costs as it shut scores of Kmart and Sears outlets. "
"146","A six-bedroom house in New York's Hamptons that was the site of a high-profile murder in 2001 has sold for more than $8 million."
"147","Ford says that shifting production of an electric SUV from the U.S. to Mexico will allow the company to make more self-driving vehicles in Michigan."
"148","The World Food Program says 500,000 hungry people are now on half-rations in Congo's troubled Kasai region because money is running low for the world's largest displacement crisis."
"149","Greensphere Capital Plc said on Thursday that it would seek to raise up to $500 million in an initial public offering on the London Stock Exchange."
"150","A former Sandia National Laboratories worker accused of creating a phony company to defraud the New Mexico facility of more than $2 million has pleaded guilty to wire fraud and money laundering."
"151","German Chancellor Angela Merkel plans to meet relatives of the 12 people killed in the truck attack on a Berlin Christmas market after the families alleged her government had provided insufficient financial assistance."
"152","British defence group BAE Systems said on Thursday its transition to a new accounting standard was not expected to have a material impact for its 2018 year and beyond. "
"153","A federal judge is setting a monthlong break in the fraud trial of former executives and sales representatives at the truck stop chain controlled by the family of Cleveland Browns owner Jimmy Haslam and Tennessee Gov. Bill Haslam."
"154","The biggest shareholders in Etalon plan to sell down their stakes, the Russian housebuilder said on Tuesday, reducing their holdings for the second time this year."
"155","The government is going after retirement funds for an ex-Ohio State and NFL quarterback who's serving prison time for scamming participants in a million-dollar sports ticket scheme."
"156","London-based private equity firm HgCapital Trust Plc has agreed to sell electronic trading and connectivity solutions provider Ullink to Sweden's Itiviti, a company backed by Nordic Capital."
"157","Portuguese soccer star Cristiano Ronaldo has teamed up with his country's top hotel chain, Pestana, in a joint venture that his partner hopes will help open new markets in Asia and reinforce its expansion into Spain and the United States."
"158","The United Nations launched a record annual humanitarian appeal on Friday, asking donors for $22.5 billion to meet the needs of 90.1 million in 2018, mainly because of wars in Africa and Middle East."
"159","General Motors Co's sales in China rose 13 percent in November from a year ago to 418,225 vehicles, following an increase of 11 percent in October, the company said on Tuesday."
"160","GEMS Education's owners have chosen JP Morgan, Credit Suisse, Bank of America Merrill Lynch and Morgan Stanley to lead the private schools group's planned flotation, sources familiar with the matter said."
"161","Free-agent catcher Welington Castillo agreed Friday to a $15 million, two-year contract with the Chicago White Sox, who avoided arbitration with right-hander Danny Farquhar by reaching a $1.05 million, one-year deal."
"162","Italy's antitrust agency said on Wednesday it had fined Unilever's Italian unit more than 60 million euros ($71 million) for abusing its dominant position in the country's ice cream market."
"163","Call it the curse of Harry Potter."
"164","British car insurance underwriter Sabre's shares rose 10 percent on its market debut on Wednesday to 250 pence, valuing the company at around 630 million pounds."
"165","British transport company Stagecoach said on Wednesday its 2018 earnings forecast was unchanged despite lower bus revenue and passenger volumes, adding that it expected modest growth in its final dividend for the year."
"166","Oil prices dipped on Wednesday, as refined product inventories in the United States rose in what the market interpreted as a sign of lacklustre demand. "
"167","British car dealership Pendragon is to sell its U.S Motor Group business after concluding a strategic review following a profit warning, it said on Monday."
"168","EnQuest Plc, a North Sea-focused oil producer saddled with $2 billion (&#163;1.48 billion) in debt, said on Thursday its lenders eased terms on a loan, boosting its shares by as much as 6 percent."
"169","A decision by Wisconsin's Racine County to give financial assistance to Taiwan-based Foxconn to build a massive liquid-crystal display plant has led to a credit rating downgrade for the county.   "
"170","Iraq is planning to increase production from the giant Rumaila oilfield to about 1.5 million barrels per day (bpd) in 2018,  the head of Rumaila operations said."
"171","Real Madrid midfielder Luka Modric has been accused by Spanish prosecutors of tax fraud of up to 870,728 euros (&#163;0.74 million) in image rights in 2013 and 2014, a court filing showed on Wednesday."
"172","Britain's Debt Management Office said on Tuesday it had sold 400 million pounds of the 4 percent conventional gilt due in 2060 <GBT460=> via tender, attracting offers worth 2.21 times the amount on offer."
"173","New Miami Marlins CEO Derek Jeter says the team has made no decision regarding right fielder Giancarlo Stanton, who is on the trading block following an MVP season."
"174","Denmark's largest insurance company Tryg said on Saturday it was in talks about a possible acquisition of its unlisted competitor Alka."
"175","The government wants to seize Martin Shkreli's one-of-a-kind Wu-Tang Clan album."
"176","SAIC General Motors Corp Ltd will recall 806,367 Chevrolet Cruze vehicles in China due to power steering-related issues, the country's quality watchdog said on Friday. "
"177","The Marlins' latest payroll purge began not with Giancarlo Stanton, but with Dee Gordon."
"178","New Nebraska coach Scott Frost will bring seven of his assistant coaches from Central Florida with him to Lincoln."
"179","U.S. President Donald Trump continued to dominate Twitter in 2017 even though former President Barack Obama's tweets were more liked and both were blown away by one man's quest for free chicken nuggets."
"180","Shares in Marathon Patent Group handed back around a third of the past week's stellar gains on Tuesday after the company said it was heavily diluting the value of its existing shares to pay for a much-hyped move into cryptocurrency mining."
"181","An oil-and-gas lease sale that raised concerns with environmentalists due to the vast amount of acres offered in Arctic Alaska drew few bids on Wednesday, government officials said."
"182","Florida coach Dan Mullen's first official day on the job included numerous staff changes."
"183","More than 174 million U.S. shoppers made purchases over Thanksgiving weekend and Cyber Monday, the National Retail Federation said on Tuesday, beating the industry group's expectations and signaling a strong start to the holiday quarter."
"184","The special counsel investigation into possible coordination between President Donald Trump's campaign and Russia during the 2016 presidential election has cost more than $6.7 million so far, according to a financial report released Tuesday."
"185","Tiffany &amp; Co., which has struggled with online competition and lost its luster with younger shoppers, reported a quarterly profit Wednesday that beat Wall Street's expectations as shoppers in China snapped up its luxury goods."
"186","The European Union is set to cut up to 175 million euros (&#163;154 million) for Turkey in 2018 that are linked to Ankara's stalled bid to join the bloc and could block some 3.5 billion euros in development loans earmarked for the country, lawmake..."
"187","A group of Chinese investors is suing Virginia Gov. Terry McAuliffe over his past work for a troubled electric car maker that relied heavily on foreign money from people trying to obtain residency in the United States."
"188","A Russian cybercriminal who officials say helped hackers get fraudulent access to millions of debit card numbers and steal millions of dollars was sentenced this week in Atlanta to spend 14 years in prison &#8212; a sentence that will be served si..."
"189","OPEC oil output fell in November by 300,000 barrels per day (bpd) to its lowest since May, a Reuters survey found, pressured by a drop in Angolan and Iraqi exports, strong compliance with a supply cut deal and involunary declines."
"190","South Africa's Sappi has agreed to buy a speciality paper unit from Switzerland-based Cham Paper Group for 146.5 million Swiss francs (110.73 million pounds), the company said on Tuesday."
"191","Altice has agreed to sell its Swiss telecommunications solutions business and Data Center operations, the telecoms and cable company said on Friday, as it seeks to reduce its 50 billion euro (&#163;44.11 billion) debt burden."
"192","The U.S. Justice Department said Wednesday it was launching a Drug Enforcement Administration field office in the Appalachian region at the center of the opioid crisis and would issue $12 million in grant funding to help assist law enforcement."
"193","The Australian Competition and Consumer Commission (ACCC) on Wednesday said it is taking local units of GlaxoSmithKline and Swiss healthcare company Novartis to court over false or misleading representations in the marketing of pain relief product..."
"194","The Women’s Refugee Commission urges immigration officials to “use discretion when the apprehension of a parent” might endanger a child."
"195","Mining giant Glencore Plc and Ontario Teachers' Pension Plan formed a joint venture for Glencore's portfolio of royalty assets, the companies said on Tuesday."
"196","GMB, a union representing staff at British motoring group AA, said it was seeking talks with the company's new management over AA's 2.7 billion pound debt."
"197","Chinese customs authorities handled 2,773 cases of smuggling in the first 10 months of this year, part of a nationwide crackdown, the China Daily reported on Friday citing a senior official."
"198","British packaging company DS Smith Plc said first-half pre-tax profit slipped as gains from acquisitions and strong revenues from European and e-commerce customers were more than offset by higher input costs."
"199","Industrial conglomerate Honeywell will take a 25 percent stake in Chinese software provider Flux Information Technology, placing a long-term bet on China's rapidly growing logistics industry."
"200","Mike Gundy, who affirmed his commitment to Oklahoma State this week following reported interest from Tennessee, is getting a raise."
"201","The Philadelphia Eagles have signed wide receiver Alshon Jeffery to a four-year contract extension that runs through 2021."
"202","ITER, an international project to build a prototype nuclear fusion reactor in southern France, said it is facing delays if the Trump administration does not reconsider budget cuts."
"203","Daseke Inc, the largest owner of flatbed equipment in North America, has acquired three trucking firms in deals aimed at gaining access to higher margin freight, the company said on Monday."
"204","The number of people signing up for 2018 Obamacare plans picked up significantly during the fifth week of open enrollment, a U.S. government agency reported on Wednesday, but the number of participants appears to be falling short of last year's nu..."
"205","Senegal's new international airport was opening its runways Thursday as the West African country hopes to become a travel hub for the region."
"206","Officials say a 709-carat diamond found in Sierra Leone has been sold for more than $6.5 million."
"207","British pork and poultry producer Cranswick Plc reported a 17.2 percent jump in half-year profit, driven by higher sales and its recent acquisition of a pork business in Northern Ireland."
